trial,acc,nmi,time,pred
0,0.5986,0.5185978643260909,0.37597084045410156,[2 7 5 ... 7 7 7]
1,0.4772,0.4996845599942743,0.2153468132019043,[6 3 4 ... 8 9 9]
2,0.5772,0.5323529770078232,0.29035186767578125,[4 0 7 ... 8 8 8]
3,0.5396,0.51874203008894,0.21512389183044434,[3 8 4 ... 2 2 2]
4,0.5466,0.4979769976781803,0.3092310428619385,[7 9 0 ... 9 9 9]
5,0.5186,0.5152381504044491,0.2458820343017578,[9 0 3 ... 7 5 5]
6,0.566,0.5058077798307987,0.36007094383239746,[4 2 6 ... 1 1 1]
7,0.5646,0.5227101619822865,0.338054895401001,[0 8 1 ... 9 9 9]
8,0.5486,0.5159845689968418,0.37011003494262695,[5 4 0 ... 4 4 4]
9,0.5458,0.5117117698957737,0.2279033660888672,[2 0 7 ... 1 1 1]
10,0.5696,0.5200648999587625,0.43690943717956543,[6 8 5 ... 4 4 4]
11,0.5156,0.4736272351739718,0.23427367210388184,[2 4 1 ... 3 3 3]
12,0.563,0.5237634845239987,0.316622257232666,[5 0 2 ... 6 6 6]
13,0.5958,0.5029371817353013,0.6195447444915771,[9 6 2 ... 6 6 6]
14,0.5474,0.5150256268431561,0.2556304931640625,[8 6 7 ... 6 6 6]
15,0.482,0.49808002536163637,0.26958703994750977,[5 4 3 ... 2 2 2]
16,0.549,0.5166765064530873,0.19751191139221191,[2 4 9 ... 4 4 4]
17,0.551,0.49993456633317956,0.21259760856628418,[2 0 4 ... 8 0 0]
18,0.5496,0.5217161594004607,0.1696610450744629,[5 7 1 ... 4 4 4]
19,0.4956,0.47454859367586333,0.447721004486084,[5 0 3 ... 4 0 0]
